SAMPLE,ELEMENT,SITE_TYPE,TAXON,PERMIL
7,SULFUR,Estuary,Macrophyte,18.10902400424274
7,NITROGEN,Estuary,Algae,14.040957822265895
7,NITROGEN,Estuary,Coarse Detritus,9.75643508010501
7,NITROGEN,Estuary,Macrophyte,11.188307308622832
8,CARBON,Estuary,Algae,-22.230108370132278
8,CARBON,Estuary,Coarse Detritus,-14.066404441848302
8,CARBON,Estuary,Macrophyte,-26.772951066788583
8,SULFUR,Estuary,Algae,18.899653006240882
8,SULFUR,Estuary,Coarse Detritus,13.385918537891106
8,SULFUR,Estuary,Macrophyte,13.055132736692737
8,NITROGEN,Estuary,Algae,12.831034785593461
8,NITROGEN,Estuary,Coarse Detritus,7.503829882361635
8,NITROGEN,Estuary,Macrophyte,7.973863567607197
9,CARBON,Estuary,Algae,-19.664435606226725
9,CARBON,Estuary,Coarse Detritus,-21.760372495736647
9,CARBON,Estuary,Macrophyte,-21.016973969036357
9,SULFUR,Estuary,Algae,19.221631115964946
9,SULFUR,Estuary,Coarse Detritus,9.356272856054044
9,SULFUR,Estuary,Macrophyte,17.86142641183705
9,NITROGEN,Estuary,Algae,10.563575119890459
9,NITROGEN,Estuary,Coarse Detritus,11.305012787941337
9,NITROGEN,Estuary,Macrophyte,10.181643951969338
10,CARBON,Estuary,Algae,-27.086783781466476
10,CARBON,Estuary,Coarse Detritus,-18.393747470118115
10,CARBON,Estuary,Macrophyte,-13.77860775444393
10,SULFUR,Estuary,Algae,17.96027677202914
10,SULFUR,Estuary,Coarse Detritus,12.850812706003325
10,SULFUR,Estuary,Macrophyte,11.706513063122397
10,NITROGEN,Estuary,Algae,11.41454654684923
10,NITROGEN,Estuary,Coarse Detritus,6.926423738094935
10,NITROGEN,Estuary,Macrophyte,9.583993282944192
11,CARBON,Estuary,Algae,-24.732176726372305
11,CARBON,Estuary,Coarse Detritus,-21.35788697594329
11,CARBON,Estuary,Macrophyte,-26.126289303206978
11,SULFUR,Estuary,Algae,15.931676858342419
11,SULFUR,Estuary,Coarse Detritus,6.73482670800509
11,SULFUR,Estuary,Macrophyte,13.498506591696911
11,NITROGEN,Estuary,Algae,1.4888931676523045
11,NITROGEN,Estuary,Coarse Detritus,5.359392382569086
11,NITROGEN,Estuary,Macrophyte,9.075380889808425
12,CARBON,Estuary,Algae,-21.975755605072084
12,CARBON,Estuary,Coarse Detritus,-16.55730012742728
12,CARBON,Estuary,Macrophyte,-11.261637185633262
12,SULFUR,Estuary,Algae,20.138004574289724
12,SULFUR,Estuary,Coarse Detritus,13.556849348953836
12,SULFUR,Estuary,Macrophyte,19.767472553385776
12,NITROGEN,Estuary,Algae,4.627118578846026
12,NITROGEN,Estuary,Coarse Detritus,7.106706449220291
12,NITROGEN,Estuary,Macrophyte,12.447592887446365
1,CARBON,Fresh,Algae,-32.77273854259312
1,CARBON,Fresh,Coarse Detritus,-28.779560223157645
1,CARBON,Fresh,Macrophyte,-28.2770592830818
1,CARBON,Fresh,Periphyton,-21.751106356242566
1,CARBON,Fresh,Riparian,-21.704950022586033
1,SULFUR,Fresh,Algae,5.607484549308465
1,SULFUR,Fresh,Coarse Detritus,3.4234056513825992
1,SULFUR,Fresh,Macrophyte,14.975404100452735
1,SULFUR,Fresh,Periphyton,1.4898832067650254
1,SULFUR,Fresh,Riparian,2.1214916980750833
1,NITROGEN,Fresh,Algae,8.499053459348666
1,NITROGEN,Fresh,Coarse Detritus,8.13330248994791
1,NITROGEN,Fresh,Macrophyte,13.542407598091586
1,NITROGEN,Fresh,Periphyton,8.893869111943205
1,NITROGEN,Fresh,Riparian,2.7891073200069103
2,CARBON,Fresh,Algae,-27.45659383147072
2,CARBON,Fresh,Coarse Detritus,-29.638464707436537
2,CARBON,Fresh,Macrophyte,-29.516965385738523
2,CARBON,Fresh,Periphyton,-13.33828401390884
2,CARBON,Fresh,Riparian,-20.673555748804375
2,SULFUR,Fresh,Algae,4.663334848610813
2,SULFUR,Fresh,Coarse Detritus,6.430331878801858
2,SULFUR,Fresh,Macrophyte,5.027703342093955
2,SULFUR,Fresh,Periphyton,14.39376957328496
2,SULFUR,Fresh,Riparian,3.3943099367764202
2,NITROGEN,Fresh,Algae,9.654383887929633
2,NITROGEN,Fresh,Coarse Detritus,8.200753602153517
2,NITROGEN,Fresh,Macrophyte,7.8629370836485935
2,NITROGEN,Fresh,Periphyton,9.078496042309443
2,NITROGEN,Fresh,Riparian,6.558345383176371
3,CARBON,Fresh,Algae,-27.818152300221126
3,CARBON,Fresh,Coarse Detritus,-30.41779002669741
3,CARBON,Fresh,Macrophyte,-27.795435749437644
3,CARBON,Fresh,Periphyton,-10.493420791129429
3,CARBON,Fresh,Riparian,-28.9373334386087
3,SULFUR,Fresh,Algae,9.187518432766666
3,SULFUR,Fresh,Coarse Detritus,1.2100651530832107
3,SULFUR,Fresh,Macrophyte,5.057683522390192
3,SULFUR,Fresh,Periphyton,6.391689293251506
3,SULFUR,Fresh,Riparian,9.933129070921211
3,NITROGEN,Fresh,Algae,6.367102553366173
3,NITROGEN,Fresh,Coarse Detritus,3.3389232809865983
3,NITROGEN,Fresh,Macrophyte,7.869461764851812
3,NITROGEN,Fresh,Periphyton,13.907655620089868
3,NITROGEN,Fresh,Riparian,9.430025810537764
4,CARBON,Fresh,Algae,-22.716278825030965
4,CARBON,Fresh,Coarse Detritus,-30.612330725903306
4,CARBON,Fresh,Macrophyte,-28.522368724520298
4,CARBON,Fresh,Periphyton,-20.96802514694318
4,CARBON,Fresh,Riparian,-35.03121913665778
4,SULFUR,Fresh,Algae,4.680270852388586
4,SULFUR,Fresh,Coarse Detritus,-3.116077479113927
4,SULFUR,Fresh,Macrophyte,7.360741450833757
4,SULFUR,Fresh,Periphyton,12.715640707054028
4,SULFUR,Fresh,Riparian,7.45255361911499
4,NITROGEN,Fresh,Algae,7.83867796722458
4,NITROGEN,Fresh,Coarse Detritus,5.554032084378711
4,NITROGEN,Fresh,Macrophyte,7.981200413380492
4,NITROGEN,Fresh,Periphyton,6.585697040385916
4,NITROGEN,Fresh,Riparian,4.254213951340294
5,CARBON,Fresh,Algae,-23.961971176519498
5,CARBON,Fresh,Coarse Detritus,-26.062301646002112
5,CARBON,Fresh,Macrophyte,-23.399196328025628
5,CARBON,Fresh,Periphyton,-24.89033771637205
5,CARBON,Fresh,Riparian,-24.263977737509947
5,SULFUR,Fresh,Algae,11.590406885582809
5,SULFUR,Fresh,Coarse Detritus,-1.3153759903071878
5,SULFUR,Fresh,Macrophyte,5.983581804278163
5,SULFUR,Fresh,Periphyton,4.460353584373013
5,SULFUR,Fresh,Riparian,2.0752422082453506
5,NITROGEN,Fresh,Algae,13.421392270914271
5,NITROGEN,Fresh,Coarse Detritus,9.715222214740418
5,NITROGEN,Fresh,Macrophyte,10.109459745267914
5,NITROGEN,Fresh,Periphyton,12.467097735077601
5,NITROGEN,Fresh,Riparian,0.4866870909995695
6,CARBON,Fresh,Algae,-22.40435759474265
6,CARBON,Fresh,Coarse Detritus,-29.625501931843512
6,CARBON,Fresh,Macrophyte,-31.92078413060607
6,CARBON,Fresh,Periphyton,-17.323206641310957
6,CARBON,Fresh,Riparian,-32.08434236938826
6,SULFUR,Fresh,Algae,14.216736739964752
6,SULFUR,Fresh,Coarse Detritus,2.96210932276036
6,SULFUR,Fresh,Macrophyte,3.2606171389520835
6,SULFUR,Fresh,Periphyton,13.895930169286427
6,SULFUR,Fresh,Riparian,2.7497656776433645
6,NITROGEN,Fresh,Algae,13.09096770720997
6,NITROGEN,Fresh,Coarse Detritus,12.476611847102046
6,NITROGEN,Fresh,Macrophyte,7.934517861320238
6,NITROGEN,Fresh,Periphyton,11.023785339372022
6,NITROGEN,Fresh,Riparian,7.734208329091747
7,CARBON,Fresh,Algae,-29.89146152390018
7,CARBON,Fresh,Coarse Detritus,-28.470429558878042
7,CARBON,Fresh,Macrophyte,-28.618518970586276
7,CARBON,Fresh,Periphyton,-19.576344828219934
7,CARBON,Fresh,Riparian,-27.529284576021986
7,SULFUR,Fresh,Algae,11.655951143374246
7,SULFUR,Fresh,Coarse Detritus,0.16471791030188276
7,SULFUR,Fresh,Macrophyte,5.3253914108959695
7,SULFUR,Fresh,Periphyton,11.321992388465988
7,SULFUR,Fresh,Riparian,-3.972282205630629
7,NITROGEN,Fresh,Algae,5.355183365218082
7,NITROGEN,Fresh,Coarse Detritus,14.365016198314425
7,NITROGEN,Fresh,Macrophyte,-3.4627042921623694
7,NITROGEN,Fresh,Periphyton,6.8897062958093125
7,NITROGEN,Fresh,Riparian,-2.5232215242675187
8,CARBON,Fresh,Algae,-28.244114947167443
8,CARBON,Fresh,Coarse Detritus,-29.131370486019097
8,CARBON,Fresh,Macrophyte,-28.69254484330878
8,CARBON,Fresh,Periphyton,-12.238086577640262
8,CARBON,Fresh,Riparian,-26.522699954069324
8,SULFUR,Fresh,Algae,10.332979993159231
8,SULFUR,Fresh,Coarse Detritus,5.960201896880719
8,SULFUR,Fresh,Macrophyte,7.108194856731275
8,SULFUR,Fresh,Periphyton,8.454198901804643
8,SULFUR,Fresh,Riparian,8.588744128911323
8,NITROGEN,Fresh,Algae,12.903391913344642
8,NITROGEN,Fresh,Coarse Detritus,11.519784850233915
8,NITROGEN,Fresh,Macrophyte,12.400195973351797
8,NITROGEN,Fresh,Periphyton,9.393855173148543
8,NITROGEN,Fresh,Riparian,3.5063679321624095
9,CARBON,Fresh,Algae,-28.631323521887303
9,CARBON,Fresh,Coarse Detritus,-27.56255178152856
9,CARBON,Fresh,Macrophyte,-29.016522268512745
9,CARBON,Fresh,Periphyton,-19.79962022457421
9,CARBON,Fresh,Riparian,-20.760742770349932
9,SULFUR,Fresh,Algae,7.14488993779411
9,SULFUR,Fresh,Coarse Detritus,8.94840887512856
9,SULFUR,Fresh,Macrophyte,10.005375974078211
9,SULFUR,Fresh,Periphyton,8.712742241463713
9,SULFUR,Fresh,Riparian,-0.10001004860930163
9,NITROGEN,Fresh,Algae,11.22547994693482
9,NITROGEN,Fresh,Coarse Detritus,6.34699338451662
9,NITROGEN,Fresh,Macrophyte,0.0928130295017695
9,NITROGEN,Fresh,Periphyton,2.2790492635204016
9,NITROGEN,Fresh,Riparian,9.187245636796703
10,CARBON,Fresh,Algae,-19.325997380700358
10,CARBON,Fresh,Coarse Detritus,-28.15512727657123
10,CARBON,Fresh,Macrophyte,-29.860320115282686
10,CARBON,Fresh,Periphyton,-24.408774784357195
10,CARBON,Fresh,Riparian,-30.499095884597313
10,SULFUR,Fresh,Algae,7.6035129697360375
10,SULFUR,Fresh,Coarse Detritus,1.3583625888956106
10,SULFUR,Fresh,Macrophyte,5.411381121723065
10,SULFUR,Fresh,Periphyton,12.61342498312909
10,SULFUR,Fresh,Riparian,0.9825302613025588
10,NITROGEN,Fresh,Algae,14.591797733947192
10,NITROGEN,Fresh,Coarse Detritus,6.28571178615363
10,NITROGEN,Fresh,Macrophyte,11.308497616274634
10,NITROGEN,Fresh,Periphyton,8.122199901776927
10,NITROGEN,Fresh,Riparian,12.352092903318425
11,CARBON,Fresh,Algae,-32.4003906377892
11,CARBON,Fresh,Coarse Detritus,-27.49901141812365
11,CARBON,Fresh,Macrophyte,-33.47840930249977
11,CARBON,Fresh,Periphyton,-12.351044354703086
11,CARBON,Fresh,Riparian,-32.747167073907576
11,SULFUR,Fresh,Algae,14.294454666984933
11,SULFUR,Fresh,Coarse Detritus,3.4724632392351107
11,SULFUR,Fresh,Macrophyte,10.753534048055894
11,SULFUR,Fresh,Periphyton,5.191225747856248
11,SULFUR,Fresh,Riparian,-4.266610361826563
11,NITROGEN,Fresh,Algae,2.7873598254179077
11,NITROGEN,Fresh,Coarse Detritus,14.419269979737617
11,NITROGEN,Fresh,Macrophyte,1.0152497933535063
11,NITROGEN,Fresh,Periphyton,4.615240347210441
11,NITROGEN,Fresh,Riparian,5.639919470068248
12,CARBON,Fresh,Algae,-27.028567530990287
12,CARBON,Fresh,Coarse Detritus,-25.86424849074053
12,CARBON,Fresh,Macrophyte,-26.36474412007719
12,CARBON,Fresh,Periphyton,-24.159232794554395
12,CARBON,Fresh,Riparian,-25.612629658689304
12,SULFUR,Fresh,Algae,10.836854539043355
12,SULFUR,Fresh,Coarse Detritus,7.906634834510117
12,SULFUR,Fresh,Macrophyte,-1.660646143441018
12,SULFUR,Fresh,Periphyton,9.502600463791154
12,SULFUR,Fresh,Riparian,10.116895665566922
12,NITROGEN,Fresh,Algae,5.538898815068672
12,NITROGEN,Fresh,Coarse Detritus,7.853081215677789
12,NITROGEN,Fresh,Macrophyte,9.15944634129263
12,NITROGEN,Fresh,Periphyton,4.48371485246648
12,NITROGEN,Fresh,Riparian,13.813184340359795
13,CARBON,Fresh,Algae,-28.67088441543174
13,CARBON,Fresh,Coarse Detritus,-28.26499625883679
13,CARBON,Fresh,Macrophyte,-37.99733605549942
13,CARBON,Fresh,Periphyton,-19.501101178009336
13,CARBON,Fresh,Riparian,-30.82314106353614
13,SULFUR,Fresh,Algae,-1.3315058125890697
13,SULFUR,Fresh,Coarse Detritus,8.5547203531175
13,SULFUR,Fresh,Macrophyte,10.252751068164521
13,SULFUR,Fresh,Periphyton,6.650932722444254
13,SULFUR,Fresh,Riparian,10.678423304650298
13,NITROGEN,Fresh,Algae,10.052419397555475
13,NITROGEN,Fresh,Coarse Detritus,7.219346897472635
13,NITROGEN,Fresh,Macrophyte,15.061909614722861
13,NITROGEN,Fresh,Periphyton,7.2942166030445215
13,NITROGEN,Fresh,Riparian,2.6361051072189325
14,CARBON,Fresh,Algae,-29.75834366111616
14,CARBON,Fresh,Coarse Detritus,-30.630115213854438
14,CARBON,Fresh,Macrophyte,-32.008506204878344
14,CARBON,Fresh,Periphyton,-23.569532605530853
14,CARBON,Fresh,Riparian,-27.076392698252487
14,SULFUR,Fresh,Algae,18.367993251771082
14,SULFUR,Fresh,Coarse Detritus,0.6723032616530227
14,SULFUR,Fresh,Macrophyte,5.378515386593735
14,SULFUR,Fresh,Periphyton,6.6771357101917035
14,SULFUR,Fresh,Riparian,1.1067709300189215
14,NITROGEN,Fresh,Algae,9.76331710258479
14,NITROGEN,Fresh,Coarse Detritus,6.3621477880762765
14,NITROGEN,Fresh,Macrophyte,7.653184357935711
14,NITROGEN,Fresh,Periphyton,14.334591186808968
14,NITROGEN,Fresh,Riparian,6.0450187838899385
15,CARBON,Fresh,Algae,-9.327574206811207
15,CARBON,Fresh,Coarse Detritus,-27.05020332752084
15,CARBON,Fresh,Macrophyte,-29.567576306454463
15,CARBON,Fresh,Periphyton,-25.193248317019098
15,CARBON,Fresh,Riparian,-24.84665275402621
15,SULFUR,Fresh,Algae,10.754635494002677
15,SULFUR,Fresh,Coarse Detritus,4.865438001968685
15,SULFUR,Fresh,Macrophyte,3.5653312823733216
15,SULFUR,Fresh,Periphyton,14.04742757772277
15,SULFUR,Fresh,Riparian,0.11875214733257167
15,NITROGEN,Fresh,Algae,16.01314265508843
15,NITROGEN,Fresh,Coarse Detritus,4.509409355188368
15,NITROGEN,Fresh,Macrophyte,3.1853730686076647
15,NITROGEN,Fresh,Periphyton,14.453731942769242
15,NITROGEN,Fresh,Riparian,4.041411452219746
16,CARBON,Fresh,Algae,-23.247848875545053
16,CARBON,Fresh,Coarse Detritus,-28.78155270699512
16,CARBON,Fresh,Macrophyte,-34.16598254388865
16,CARBON,Fresh,Periphyton,-23.484916810992853
16,CARBON,Fresh,Riparian,-31.840367684998533
16,SULFUR,Fresh,Algae,2.8052045092067237
16,SULFUR,Fresh,Coarse Detritus,-0.9503484306275309
16,SULFUR,Fresh,Macrophyte,3.531956432253556
16,SULFUR,Fresh,Periphyton,7.609561470496395
16,SULFUR,Fresh,Riparian,0.9169018213460318
16,NITROGEN,Fresh,Algae,12.447230020515091
16,NITROGEN,Fresh,Coarse Detritus,10.940715084934183
16,NITROGEN,Fresh,Macrophyte,15.616658624874766
16,NITROGEN,Fresh,Periphyton,10.991403576572633
16,NITROGEN,Fresh,Riparian,13.998328708271874
17,CARBON,Fresh,Algae,-31.109561888474563
17,CARBON,Fresh,Coarse Detritus,-29.50615365295101
17,CARBON,Fresh,Macrophyte,-22.685497124136226
17,CARBON,Fresh,Periphyton,-16.73194988416082
17,CARBON,Fresh,Riparian,-27.449116464907508
17,SULFUR,Fresh,Algae,6.779680073875053
17,SULFUR,Fresh,Coarse Detritus,2.4490644477790235
17,SULFUR,Fresh,Macrophyte,10.908460528474096
17,SULFUR,Fresh,Periphyton,11.470711427765231
17,SULFUR,Fresh,Riparian,-0.8387162850949377
17,NITROGEN,Fresh,Algae,9.262922887912646
17,NITROGEN,Fresh,Coarse Detritus,6.2641886143644046
17,NITROGEN,Fresh,Macrophyte,11.314138136239281
17,NITROGEN,Fresh,Periphyton,7.460236547449284
17,NITROGEN,Fresh,Riparian,1.7748960816436483
18,CARBON,Fresh,Algae,-32.85952867329082
18,CARBON,Fresh,Coarse Detritus,-27.77245475457172
18,CARBON,Fresh,Macrophyte,-24.850809152247354
18,CARBON,Fresh,Periphyton,-12.861465676965738
18,CARBON,Fresh,Riparian,-20.201178185630834
18,SULFUR,Fresh,Algae,6.005367999509394
18,SULFUR,Fresh,Coarse Detritus,2.259802317662749
18,SULFUR,Fresh,Macrophyte,13.551245520114538
18,SULFUR,Fresh,Periphyton,6.988548410756222
18,SULFUR,Fresh,Riparian,5.085062472602427
18,NITROGEN,Fresh,Algae,9.331012693588137
18,NITROGEN,Fresh,Coarse Detritus,9.357539435282384
18,NITROGEN,Fresh,Macrophyte,18.24408873433327
18,NITROGEN,Fresh,Periphyton,11.647811294105171
18,NITROGEN,Fresh,Riparian,4.975514487758603
19,CARBON,Fresh,Algae,-25.187957401812874
19,CARBON,Fresh,Coarse Detritus,-25.97671599224384
19,CARBON,Fresh,Macrophyte,-31.807977577144676
19,CARBON,Fresh,Periphyton,-23.10802918681
19,CARBON,Fresh,Riparian,-20.237955823005386
19,SULFUR,Fresh,Algae,15.05124562953958
19,SULFUR,Fresh,Coarse Detritus,4.319847402023378
19,SULFUR,Fresh,Macrophyte,9.44648824166829
19,SULFUR,Fresh,Periphyton,9.405328058963951
19,SULFUR,Fresh,Riparian,0.32650804208920503
19,NITROGEN,Fresh,Algae,6.195724469466445
19,NITROGEN,Fresh,Coarse Detritus,6.676536733887437
19,NITROGEN,Fresh,Macrophyte,0.8981945698861136
19,NITROGEN,Fresh,Periphyton,4.76721383186133
19,NITROGEN,Fresh,Riparian,3.234175656453905
20,CARBON,Fresh,Algae,-31.89196202494184
20,CARBON,Fresh,Coarse Detritus,-29.18155800384481
20,CARBON,Fresh,Macrophyte,-23.71678778657488
20,CARBON,Fresh,Periphyton,-15.272932518725701
20,CARBON,Fresh,Riparian,-22.29318462887234
20,SULFUR,Fresh,Algae,12.77665160721855
20,SULFUR,Fresh,Coarse Detritus,3.9323675421236217
20,SULFUR,Fresh,Macrophyte,6.538506385801799
20,SULFUR,Fresh,Periphyton,9.457228805279327
20,SULFUR,Fresh,Riparian,0.2520174043008323
20,NITROGEN,Fresh,Algae,2.761222847483494
20,NITROGEN,Fresh,Coarse Detritus,9.535748762934118
20,NITROGEN,Fresh,Macrophyte,7.650530728170548
20,NITROGEN,Fresh,Periphyton,5.018998921114885
20,NITROGEN,Fresh,Riparian,8.623544152614494
21,CARBON,Fresh,Algae,-26.151400049268677
21,CARBON,Fresh,Coarse Detritus,-28.675862283923845
21,CARBON,Fresh,Macrophyte,-27.47104281405656
21,CARBON,Fresh,Periphyton,-17.548700539407985
21,CARBON,Fresh,Riparian,-20.91810259327197
21,SULFUR,Fresh,Algae,-0.20075908035161305
21,SULFUR,Fresh,Coarse Detritus,4.997254942449691
21,SULFUR,Fresh,Macrophyte,11.526206515669225
21,SULFUR,Fresh,Periphyton,4.084681944174833
21,SULFUR,Fresh,Riparian,4.769173594689903
21,NITROGEN,Fresh,Algae,11.23531309638007
21,NITROGEN,Fresh,Coarse Detritus,7.245704202013338
21,NITROGEN,Fresh,Macrophyte,3.5192821362877336
21,NITROGEN,Fresh,Periphyton,14.417714243685861
21,NITROGEN,Fresh,Riparian,0.956011358838972
22,CARBON,Fresh,Algae,-25.562405497288136
22,CARBON,Fresh,Coarse Detritus,-27.80266815669172
22,CARBON,Fresh,Macrophyte,-19.75772552119068
22,CARBON,Fresh,Periphyton,-20.54878766865759
22,CARBON,Fresh,Riparian,-25.753969968335944
22,SULFUR,Fresh,Algae,12.134839293232314
22,SULFUR,Fresh,Coarse Detritus,4.87924798366471
22,SULFUR,Fresh,Macrophyte,8.216551679805441
22,SULFUR,Fresh,Periphyton,14.648883979795384
22,SULFUR,Fresh,Riparian,6.882051115344257
22,NITROGEN,Fresh,Algae,11.076078462961263
22,NITROGEN,Fresh,Coarse Detritus,12.789175983651917
22,NITROGEN,Fresh,Macrophyte,2.5247367679365373
22,NITROGEN,Fresh,Periphyton,6.7373670822740035
22,NITROGEN,Fresh,Riparian,6.832891124091042
23,CARBON,Fresh,Algae,-23.58269921330117
23,CARBON,Fresh,Coarse Detritus,-27.42172971768085
23,CARBON,Fresh,Macrophyte,-26.575490882260116
23,CARBON,Fresh,Periphyton,-17.59173111538871
23,CARBON,Fresh,Riparian,-29.905568637917966
23,SULFUR,Fresh,Algae,8.99415939693818
23,SULFUR,Fresh,Coarse Detritus,3.3082946055730638
23,SULFUR,Fresh,Macrophyte,5.7723003784266345
23,SULFUR,Fresh,Periphyton,9.436048713799108
23,SULFUR,Fresh,Riparian,7.784833230285005
23,NITROGEN,Fresh,Algae,13.13804431067095
23,NITROGEN,Fresh,Coarse Detritus,6.690440095446741
23,NITROGEN,Fresh,Macrophyte,17.29812853433966
23,NITROGEN,Fresh,Periphyton,6.287563244631803
23,NITROGEN,Fresh,Riparian,0.3330677761630909
24,CARBON,Fresh,Algae,-17.28303671925743
24,CARBON,Fresh,Coarse Detritus,-25.690489512433356
24,CARBON,Fresh,Macrophyte,-29.630798791013017
24,CARBON,Fresh,Periphyton,-30.925643584402543
24,CARBON,Fresh,Riparian,-27.859136511312297
24,SULFUR,Fresh,Algae,11.514835686680689
24,SULFUR,Fresh,Coarse Detritus,6.2062345927240194
24,SULFUR,Fresh,Macrophyte,8.537027179050543
24,SULFUR,Fresh,Periphyton,12.866891498651647
24,SULFUR,Fresh,Riparian,1.886157505069813
24,NITROGEN,Fresh,Algae,12.68320167851017
24,NITROGEN,Fresh,Coarse Detritus,4.211534547772914
24,NITROGEN,Fresh,Macrophyte,0.9862037712205858
24,NITROGEN,Fresh,Periphyton,10.96777134747244
24,NITROGEN,Fresh,Riparian,11.169731847143446
25,CARBON,Fresh,Algae,-17.09759670795188
25,CARBON,Fresh,Coarse Detritus,-26.220304676068913
25,CARBON,Fresh,Macrophyte,-28.789455151024228
25,CARBON,Fresh,Periphyton,-11.33108750556682
25,CARBON,Fresh,Riparian,-24.984933078911155
25,SULFUR,Fresh,Algae,8.235445008478445
25,SULFUR,Fresh,Coarse Detritus,1.044194379058319
25,SULFUR,Fresh,Macrophyte,9.410895429340446
25,SULFUR,Fresh,Periphyton,4.314170534734094
25,SULFUR,Fresh,Riparian,8.565309590693118
25,NITROGEN,Fresh,Algae,15.065037799470332
25,NITROGEN,Fresh,Coarse Detritus,2.0670187293822115
25,NITROGEN,Fresh,Macrophyte,12.629942494861133
25,NITROGEN,Fresh,Periphyton,13.711091746886384
25,NITROGEN,Fresh,Riparian,6.99058131115974
26,CARBON,Fresh,Algae,-22.109081976011197
26,CARBON,Fresh,Coarse Detritus,-26.747708840420074
26,CARBON,Fresh,Macrophyte,-30.829759290976195
26,CARBON,Fresh,Periphyton,-18.943938869930854
26,CARBON,Fresh,Riparian,-17.890689073397425
26,SULFUR,Fresh,Algae,8.6913956205304
26,SULFUR,Fresh,Coarse Detritus,1.7315259179511915
26,SULFUR,Fresh,Macrophyte,10.663849809877213
26,SULFUR,Fresh,Periphyton,7.284200112507177
26,SULFUR,Fresh,Riparian,5.756335235596802
26,NITROGEN,Fresh,Algae,10.159774295426342
26,NITROGEN,Fresh,Coarse Detritus,7.061830582217565
26,NITROGEN,Fresh,Macrophyte,19.52048752362895
26,NITROGEN,Fresh,Periphyton,7.959481988691513
26,NITROGEN,Fresh,Riparian,4.112183420182697
27,CARBON,Fresh,Algae,-24.741666104101846
27,CARBON,Fresh,Coarse Detritus,-29.551697597787406
27,CARBON,Fresh,Macrophyte,-34.39372295213331
