sulfur,S_percent,carbon,nitrogen,N_percent,C_percent,site,type,species,max_forklength,my_rep,details,tray,UID,project,collection
6.12,1.02,-23.44813454,15.40672681,14.62,47.87,AR,Fish,L.cyanellus,120,2,NA,NA,TERRG_2020_01_AR_Fish_L.cyanellus_120_2,TERRG,2020-01-15
4.62,0.65,NA,NA,NA,NA,AR,Fish,L.macrochirus,40,1,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_40_1,TERRG,2020-01-15
4.46,0.84,NA,NA,NA,NA,AR,Fish,L.macrochirus,40,2,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_40_2,TERRG,2020-01-15
4.79,0.77,NA,NA,NA,NA,AR,Fish,L.macrochirus,40,3,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_40_3,TERRG,2020-01-15
4.98,0.81,NA,NA,NA,NA,AR,Fish,L.macrochirus,40,4,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_40_4,TERRG,2020-01-15
4.45,0.7,NA,NA,NA,NA,AR,Fish,L.macrochirus,40,5,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_40_5,TERRG,2020-01-15
4.1,1.01,-24.92277705,18.58646354,15.17,49.99,AR,Fish,L.macrochirus,80,1,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_80_1,TERRG,2020-01-15
4.23,1.03,-25.7961879,19.60769285,14.39,46.32,AR,Fish,L.macrochirus,80,2,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_80_2,TERRG,2020-01-15
4.16,1.01,NA,NA,NA,NA,AR,Fish,L.macrochirus,80,3,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_80_3,TERRG,2020-01-15
4.78,1,-24.7988477,18.18687344,14.23,48.62,AR,Fish,L.macrochirus,120,1,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_120_1,TERRG,2020-01-15
4.37,1.02,-25.19995081,19.57961262,14.85,48.76,AR,Fish,L.macrochirus,120,2,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_120_2,TERRG,2020-01-15
4.06,1.06,-24.36826271,19.00121181,14.61,48.76,AR,Fish,L.macrochirus,120,3,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_120_3,TERRG,2020-01-15
4.78,0.92,-24.60591171,17.75091228,14.94,48.68,AR,Fish,L.macrochirus,120,4,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_120_4,TERRG,2020-01-15
4.23,0.97,NA,NA,NA,NA,AR,Fish,L.macrochirus,120,5,NA,NA,TERRG_2020_01_AR_Fish_L.macrochirus_120_5,TERRG,2020-01-15
2.41,0.77,-26.48272945,18.47041475,10.51,38.05,AR,Fish,L.megalotis,40,1,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_40_1,TERRG,2020-01-15
1.7,0.98,-27.49527668,19.29183833,12.9,43.94,AR,Fish,L.megalotis,40,2,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_40_2,TERRG,2020-01-15
2.5,0.86,-27.8388003,20.53677775,12.83,42.02,AR,Fish,L.megalotis,40,3,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_40_3,TERRG,2020-01-15
1.97,0.87,NA,NA,NA,NA,AR,Fish,L.megalotis,40,4,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_40_4,TERRG,2020-01-15
4.09,1,-26.92451285,18.94873757,15.09,49.27,AR,Fish,L.megalotis,80,1,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_80_1,TERRG,2020-01-15
3.64,0.9,-25.28839089,19.78126147,14.67,49.36,AR,Fish,L.megalotis,80,2,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_80_2,TERRG,2020-01-15
1.99,0.99,-24.66816864,20.19584068,12.95,42.67,AR,Fish,L.megalotis,80,3,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_80_3,TERRG,2020-01-15
4.51,1.04,-25.6255681,18.5440805,13.14,45.16,AR,Fish,L.megalotis,80,4,NA,NA,TERRG_2020_01_AR_Fish_L.megalotis_80_4,TERRG,2020-01-15
7,0.85,-25.03105764,16.33763548,13.22,43.14,EM,Fish,L.cyanellus,80,1,NA,NA,TERRG_2020_01_EM_Fish_L.cyanellus_80_1,TERRG,2020-01-15
7.87,0.87,-24.40883741,14.96970648,13.67,44.98,EM,Fish,L.cyanellus,80,2,NA,NA,TERRG_2020_01_EM_Fish_L.cyanellus_80_2,TERRG,2020-01-15
8.18,0.91,-25.35978124,17.24017492,13.54,43.72,EM,Fish,L.cyanellus,80,3,NA,NA,TERRG_2020_01_EM_Fish_L.cyanellus_80_3,TERRG,2020-01-15
7.01,0.92,-27.7490704,16.89906889,15.26,47.85,EM,Fish,L.gulosus,40,1,NA,NA,TERRG_2020_01_EM_Fish_L.gulosus_40_1,TERRG,2020-01-15
8.04,0.97,NA,NA,NA,NA,EM,Fish,L.gulosus,120,1,NA,NA,TERRG_2020_01_EM_Fish_L.gulosus_120_1,TERRG,2020-01-15
8.94,0.87,-27.55354456,17.23954461,13.38,44,EM,Fish,L.macrochirus,40,1,NA,NA,TERRG_2020_01_EM_Fish_L.macrochirus_40_1,TERRG,2020-01-15
8.62,0.77,-28.47414536,16.64295884,10.64,36.36,EM,Fish,L.macrochirus,40,2,NA,NA,TERRG_2020_01_EM_Fish_L.macrochirus_40_2,TERRG,2020-01-15
8.58,0.85,-27.68796858,17.32290592,12.92,42.16,EM,Fish,L.macrochirus,40,3,NA,NA,TERRG_2020_01_EM_Fish_L.macrochirus_40_3,TERRG,2020-01-15
8.42,0.87,-26.08054522,17.70138702,13.93,44.66,EM,Fish,L.megalotis,40,1,NA,NA,TERRG_2020_01_EM_Fish_L.megalotis_40_1,TERRG,2020-01-15
7.9,0.92,-25.19078856,17.08239183,14.03,45.19,EM,Fish,L.megalotis,40,2,NA,NA,TERRG_2020_01_EM_Fish_L.megalotis_40_2,TERRG,2020-01-15
8.28,0.91,-25.33229448,17.86119297,13.83,44.67,EM,Fish,L.megalotis,40,3,NA,NA,TERRG_2020_01_EM_Fish_L.megalotis_40_3,TERRG,2020-01-15
7.59,0.85,NA,NA,NA,NA,EM,Fish,L.megalotis,120,1,NA,NA,TERRG_2020_01_EM_Fish_L.megalotis_120_1,TERRG,2020-01-15
7.67,0.84,-26.33048974,16.20104345,11.54,36.4,EM,Fish,N.gyrinus,40,1,NA,NA,TERRG_2020_01_EM_Fish_N.gyrinus_40_1,TERRG,2020-01-15
7.48,0.75,-25.53386407,16.98428312,10.73,35.15,EM,Fish,N.gyrinus,40,2,NA,NA,TERRG_2020_01_EM_Fish_N.gyrinus_40_2,TERRG,2020-01-15
7.65,0.74,-25.29869955,16.66871694,11.14,36.63,EM,Fish,N.gyrinus,40,3,NA,NA,TERRG_2020_01_EM_Fish_N.gyrinus_40_3,TERRG,2020-01-15
5.55,0.81,-30.48229758,11.41355777,10.98,41.83,GC,Fish,G.affinis,40,1,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_1,TERRG,2020-01-15
2.06,0.78,-30.2209658,11.72021225,10.54,41.3,GC,Fish,G.affinis,40,2,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_2,TERRG,2020-01-15
2.85,0.8,-30.62551828,9.975972292,12.1,48.69,GC,Fish,G.affinis,40,3,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_3,TERRG,2020-01-15
3.77,0.71,-30.65146031,13.77652255,12.47,49.56,GC,Fish,G.affinis,40,4,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_4,TERRG,2020-01-15
2.51,0.76,NA,NA,NA,NA,GC,Fish,G.affinis,40,5,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_5,TERRG,2020-01-15
0.42,0.77,NA,NA,NA,NA,GC,Fish,G.affinis,40,6,NA,NA,TERRG_2020_01_GC_Fish_G.affinis_40_6,TERRG,2020-01-15
-0.22,0.91,NA,NA,NA,NA,GC,Fish,H.cyanoguttatus,80,1,NA,NA,TERRG_2020_01_GC_Fish_H.cyanoguttatus_80_1,TERRG,2020-01-15
-0.17,0.96,NA,NA,NA,NA,GC,Fish,H.cyanoguttatus,80,2,NA,NA,TERRG_2020_01_GC_Fish_H.cyanoguttatus_80_2,TERRG,2020-01-15
-0.2,0.99,NA,NA,NA,NA,GC,Fish,H.cyanoguttatus,80,3,NA,NA,TERRG_2020_01_GC_Fish_H.cyanoguttatus_80_3,TERRG,2020-01-15
-0.06,0.91,NA,NA,NA,NA,GC,Fish,H.cyanoguttatus,80,4,NA,NA,TERRG_2020_01_GC_Fish_H.cyanoguttatus_80_4,TERRG,2020-01-15
-0.11,1.01,-31.70820517,14.3818736,13.14,45.55,GC,Fish,L.gulosus,80,1,NA,NA,TERRG_2020_01_GC_Fish_L.gulosus_80_1,TERRG,2020-01-15
2.75,0.98,-31.35970189,8.822605387,13.87,45.8,GC,Fish,L.gulosus,80,2,NA,NA,TERRG_2020_01_GC_Fish_L.gulosus_80_2,TERRG,2020-01-15
1.35,0.93,-28.22000075,10.70324974,14.42,46.55,GC,Fish,L.gulosus,120,1,NA,NA,TERRG_2020_01_GC_Fish_L.gulosus_120_1,TERRG,2020-01-15
1.83,0.98,-29.20032937,10.27057995,14.93,48.19,GC,Fish,L.gulosus,120,2,NA,NA,TERRG_2020_01_GC_Fish_L.gulosus_120_2,TERRG,2020-01-15
2.18,0.96,-29.42757811,10.31617747,14.03,45.38,GC,Fish,L.gulosus,120,3,NA,NA,TERRG_2020_01_GC_Fish_L.gulosus_120_3,TERRG,2020-01-15
3.44,0.95,-29.86678979,17.74148018,13.19,45.56,GC,Fish,L.humilis,80,1,NA,NA,TERRG_2020_01_GC_Fish_L.humilis_80_1,TERRG,2020-01-15
3.05,1.03,-30.05837168,11.93640932,15.24,49.97,GC,Fish,L.humilis,120,1,NA,NA,TERRG_2020_01_GC_Fish_L.humilis_120_1,TERRG,2020-01-15
4.09,0.87,-32.51632662,13.59109264,13.21,42.64,GC,Fish,L.macrochirus,80,1,NA,NA,TERRG_2020_01_GC_Fish_L.macrochirus_80_1,TERRG,2020-01-15
3.03,0.73,-32.24016336,15.32683821,12.83,43.39,GC,Fish,L.macrochirus,80,2,NA,NA,TERRG_2020_01_GC_Fish_L.macrochirus_80_2,TERRG,2020-01-15
3.18,0.9,-32.48402627,14.24447873,13.1,43.63,GC,Fish,L.macrochirus,80,3,NA,NA,TERRG_2020_01_GC_Fish_L.macrochirus_80_3,TERRG,2020-01-15
4.42,0.97,NA,NA,NA,NA,GC,Fish,L.macrochirus,80,4,NA,NA,TERRG_2020_01_GC_Fish_L.macrochirus_80_4,TERRG,2020-01-15
4.8,0.98,NA,NA,NA,NA,GC,Fish,L.macrochirus,80,5,NA,NA,TERRG_2020_01_GC_Fish_L.macrochirus_80_5,TERRG,2020-01-15
4.27,0.96,-30.62088873,13.00947095,11.14,37.2,GC,Fish,L.megalotis,80,1,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_80_1,TERRG,2020-01-15
2.99,0.93,-30.90622347,14.8435045,13.57,45.32,GC,Fish,L.megalotis,80,2,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_80_2,TERRG,2020-01-15
2.91,0.99,-29.97073316,15.12418257,13.97,46.82,GC,Fish,L.megalotis,80,3,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_80_3,TERRG,2020-01-15
1.77,0.92,-28.98429022,15.65007396,13.02,43.57,GC,Fish,L.megalotis,120,1,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_120_1,TERRG,2020-01-15
1.53,0.91,-28.87627064,14.13522304,14.46,48.05,GC,Fish,L.megalotis,120,2,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_120_2,TERRG,2020-01-15
2.29,0.95,-28.88442306,15.09175766,13.5,45.46,GC,Fish,L.megalotis,120,3,NA,NA,TERRG_2020_01_GC_Fish_L.megalotis_120_3,TERRG,2020-01-15
0.84,0.93,-30.28562042,9.91289274,9.09,36.42,GC,Fish,N.gyrinus,80,1,NA,NA,TERRG_2020_01_GC_Fish_N.gyrinus_80_1,TERRG,2020-01-15
1.07,0.66,-30.54547884,10.08413676,12.19,45.36,GC,Fish,N.gyrinus,80,2,NA,NA,TERRG_2020_01_GC_Fish_N.gyrinus_80_2,TERRG,2020-01-15
15.16,0.7,-22.35456196,13.46855226,11.65,36.09,LN,Fish,A.mitchilli,40,1,NA,NA,TERRG_2020_01_LN_Fish_A.mitchilli_40_1,TERRG,2020-01-15
14.4,0.93,-19.98764637,8.115053013,9.08,27.07,LN,Fish,A.mitchilli,40,2,NA,NA,TERRG_2020_01_LN_Fish_A.mitchilli_40_2,TERRG,2020-01-15
11.25,1.24,-20.12356289,17.89940464,13.97,46,LN,Fish,A.spatula,80,1,NA,NA,TERRG_2020_01_LN_Fish_A.spatula_80_1,TERRG,2020-01-15
8.08,0.73,NA,NA,NA,NA,LN,Fish,C.variegatus,80,1,NA,NA,TERRG_2020_01_LN_Fish_C.variegatus_80_1,TERRG,2020-01-15
8.68,0.86,-19.30072501,9.283058894,9.24,31.31,LN,Fish,C.variegatus,80,2,NA,NA,TERRG_2020_01_LN_Fish_C.variegatus_80_2,TERRG,2020-01-15
9.45,0.87,-19.16406155,12.84247706,11.43,38.62,LN,Fish,F.grandis,80,1,NA,NA,TERRG_2020_01_LN_Fish_F.grandis_80_1,TERRG,2020-01-15
7.54,1.14,-21.66230278,13.26626625,12.52,41.73,LN,Fish,G.dormitor,280,1,NA,NA,TERRG_2020_01_LN_Fish_G.dormitor_280_1,TERRG,2020-01-15
11.21,0.87,-24.60949729,13.79982795,11.4,38.59,LN,Fish,M.berylina,80,1,NA,NA,TERRG_2020_01_LN_Fish_M.berylina_80_1,TERRG,2020-01-15
7.52,1.11,-23.15938541,15.40587391,13.23,45.43,LN,Fish,M.salmoides,360,1,NA,NA,TERRG_2020_01_LN_Fish_M.salmoides_360_1,TERRG,2020-01-15
8.12,0.61,NA,NA,NA,NA,LN,Fish,P.latipinna,40,1,NA,NA,TERRG_2020_01_LN_Fish_P.latipinna_40_1,TERRG,2020-01-15
10.18,0.8,NA,NA,NA,NA,LN,Fish,P.latipinna,80,1,NA,NA,TERRG_2020_01_LN_Fish_P.latipinna_80_1,TERRG,2020-01-15
8.93,0.71,-29.71553073,11.8752944,16.44,50.73,MR,Fish,G.affinis,40,1,NA,NA,TERRG_2020_01_MR_Fish_G.affinis_40_1,TERRG,2020-01-15
8.16,0.8,-31.35815141,12.32223155,12.21,38.19,MR,Fish,H.cyanoguttatus,80,1,NA,NA,TERRG_2020_01_MR_Fish_H.cyanoguttatus_80_1,TERRG,2020-01-15
8.85,0.87,NA,NA,NA,NA,MR,Fish,L.cyanellus,80,1,NA,NA,TERRG_2020_01_MR_Fish_L.cyanellus_80_1,TERRG,2020-01-15
7.63,0.99,NA,NA,NA,NA,MR,Fish,L.gulosus,80,1,NA,NA,TERRG_2020_01_MR_Fish_L.gulosus_80_1,TERRG,2020-01-15
5.16,0.83,-33.24243542,11.77053654,13.89,43.87,MR,Fish,L.macrochirus,80,1,NA,NA,TERRG_2020_01_MR_Fish_L.macrochirus_80_1,TERRG,2020-01-15
-2.08,0.94,-26.98020579,7.963338844,16.16,49.09,MR,Fish,M.cephalus,240,1,NA,NA,TERRG_2020_01_MR_Fish_M.cephalus_240_1,TERRG,2020-01-15
9.91,0.86,-25.75287434,8.159921438,11.46,41.24,PD,Fish,F.notatus,80,1,NA,NA,TERRG_2020_01_PD_Fish_F.notatus_80_1,TERRG,2020-01-15
10.37,0.81,-26.05960499,9.695848042,13.2,42.44,PD,Fish,H.cyanoguttatus,80,1,NA,NA,TERRG_2020_01_PD_Fish_H.cyanoguttatus_80_1,TERRG,2020-01-15
10.3,0.91,-27.9680186,9.443755399,13.43,43.92,PD,Fish,H.cyanoguttatus,120,1,NA,NA,TERRG_2020_01_PD_Fish_H.cyanoguttatus_120_1,TERRG,2020-01-15
9.26,0.99,-27.56474657,9.028957545,14.14,45.14,PD,Fish,H.cyanoguttatus,160,1,NA,NA,TERRG_2020_01_PD_Fish_H.cyanoguttatus_160_1,TERRG,2020-01-15
8.9,0.94,-29.03038127,13.24973524,12,50.95,PD,Fish,I.punctatus,120,1,NA,NA,TERRG_2020_01_PD_Fish_I.punctatus_120_1,TERRG,2020-01-15
8.97,0.91,-25.02056105,15.62783604,14.09,47,PD,Fish,I.punctatus,120,2,NA,NA,TERRG_2020_01_PD_Fish_I.punctatus_120_2,TERRG,2020-01-15
8.11,0.85,-25.4483497,11.59234952,11.88,37.88,PD,Fish,L.auritus,120,1,NA,NA,TERRG_2020_01_PD_Fish_L.auritus_120_1,TERRG,2020-01-15
6.53,0.82,-25.82538134,11.62521046,14.08,44.17,PD,Fish,L.auritus,160,1,NA,NA,TERRG_2020_01_PD_Fish_L.auritus_160_1,TERRG,2020-01-15
6.53,0.82,-24.16563415,11.44569217,11.46,37.07,PD,Fish,L.auritus,160,1,NA,NA,TERRG_2020_01_PD_Fish_L.auritus_160_1,TERRG,2020-01-15
8.2,0.94,-26.56818073,10.66891389,13.93,44.57,PD,Fish,L.auritus,160,2,NA,NA,TERRG_2020_01_PD_Fish_L.auritus_160_2,TERRG,2020-01-15
8.14,0.91,NA,NA,NA,NA,PD,Fish,L.auritus,160,3,NA,NA,TERRG_2020_01_PD_Fish_L.auritus_160_3,TERRG,2020-01-15
7.44,0.99,NA,NA,NA,NA,PD,Fish,L.cyanellus,80,1,NA,NA,TERRG_2020_01_PD_Fish_L.cyanellus_80_1,TERRG,2020-01-15
8.02,0.91,-25.96795226,10.47221303,14.71,46.02,PD,Fish,L.cyanellus,120,1,NA,NA,TERRG_2020_01_PD_Fish_L.cyanellus_120_1,TERRG,2020-01-15
6.68,0.87,-23.70514808,11.6392714,13.66,41.99,PD,Fish,L.cyanellus,160,1,NA,NA,TERRG_2020_01_PD_Fish_L.cyanellus_160_1,TERRG,2020-01-15
8.77,1.03,NA,NA,NA,NA,PD,Fish,L.gulosus,120,1,NA,NA,TERRG_2020_01_PD_Fish_L.gulosus_120_1,TERRG,2020-01-15
7.43,0.9,-25.43331131,11.0497161,12.43,38.66,PD,Fish,L.macrochirus,120,1,NA,NA,TERRG_2020_01_PD_Fish_L.macrochirus_120_1,TERRG,2020-01-15
7.7,0.87,NA,NA,NA,NA,PD,Fish,L.macrochirus,120,2,NA,NA,TERRG_2020_01_PD_Fish_L.macrochirus_120_2,TERRG,2020-01-15
10.19,0.82,-26.5647134,11.92852511,12.77,40.43,PL,Fish,D.maculatus,120,1,NA,NA,TERRG_2020_01_PL_Fish_D.maculatus_120_1,TERRG,2020-01-15
10.32,0.87,-24.15119139,16.600776,14.81,48.64,PL,Fish,L.megalotis,40,1,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_40_1,TERRG,2020-01-15
9.44,0.78,-24.09079951,17.50437308,13.26,44.99,PL,Fish,L.megalotis,40,2,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_40_2,TERRG,2020-01-15
7.89,0.88,-24.33347849,17.11801788,12.53,43.2,PL,Fish,L.megalotis,40,3,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_40_3,TERRG,2020-01-15
9.4,0.79,-22.5594889,17.60713787,10.03,33.93,PL,Fish,L.megalotis,80,1,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_80_1,TERRG,2020-01-15
8.81,0.82,-22.99229348,15.17359017,13.01,40.55,PL,Fish,L.megalotis,120,1,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_120_1,TERRG,2020-01-15
8.95,0.89,-24.07888757,13.6248776,10.12,34.31,PL,Fish,L.megalotis,120,2,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_120_2,TERRG,2020-01-15
9.4,0.95,-24.06361211,16.52846258,12.83,41.41,PL,Fish,L.megalotis,120,3,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_120_3,TERRG,2020-01-15
9.44,0.79,-23.65356596,17.82579292,14.16,47.14,PL,Fish,L.megalotis,120,4,NA,NA,TERRG_2020_01_PL_Fish_L.megalotis_120_4,TERRG,2020-01-15
11.66,0.72,-23.85077409,14.27268538,10.5,37.43,PL,Fish,P.latipinna,80,1,NA,NA,TERRG_2020_01_PL_Fish_P.latipinna_80_1,TERRG,2020-01-15
10.92,0.77,-22.73326846,14.99378878,10.99,41.38,PL,Fish,P.latipinna,80,2,NA,NA,TERRG_2020_01_PL_Fish_P.latipinna_80_2,TERRG,2020-01-15
10.75,0.76,-24.63904982,15.08263816,11.67,43.84,PL,Fish,P.latipinna,80,3,NA,NA,TERRG_2020_01_PL_Fish_P.latipinna_80_3,TERRG,2020-01-15
2.36,0.86,-23.67411031,15.84781067,10.76,38.73,SF,Fish,G.affinis,40,1,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_40_1,TERRG,2020-01-15
2.87,0.75,-23.34560153,16.16887965,12.25,42.62,SF,Fish,G.affinis,40,2,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_40_2,TERRG,2020-01-15
1.67,0.68,-23.78361324,16.47384486,12.41,44.75,SF,Fish,G.affinis,40,3,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_40_3,TERRG,2020-01-15
7.5,0.65,NA,NA,NA,NA,SF,Fish,G.affinis,40,4,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_40_4,TERRG,2020-01-15
8.79,0.69,NA,NA,NA,NA,SF,Fish,G.affinis,40,5,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_40_5,TERRG,2020-01-15
8.39,0.73,NA,NA,NA,NA,SF,Fish,G.affinis,80,1,NA,NA,TERRG_2020_01_SF_Fish_G.affinis_80_1,TERRG,2020-01-15
-0.54,0.92,-25.28927847,18.77668446,12.69,40.91,SF,Fish,H.cyanoguttatus,80,1,NA,NA,TERRG_2020_01_SF_Fish_H.cyanoguttatus_80_1,TERRG,2020-01-15
3.12,0.88,-23.72987569,16.69527174,11.12,36.74,SF,Fish,H.cyanoguttatus,80,2,NA,NA,TERRG_2020_01_SF_Fish_H.cyanoguttatus_80_2,TERRG,2020-01-15
-1.97,0.73,-25.45150503,16.19706125,12.62,43.57,SF,Fish,H.cyanoguttatus,80,3,NA,NA,TERRG_2020_01_SF_Fish_H.cyanoguttatus_80_3,TERRG,2020-01-15
0.86,0.87,-24.90500431,15.60726055,13.3,45.59,SF,Fish,H.cyanoguttatus,80,4,NA,NA,TERRG_2020_01_SF_Fish_H.cyanoguttatus_80_4,TERRG,2020-01-15
-0.34,0.81,-22.94409081,16.26348932,13.47,44.58,SF,Fish,L.cyanellus,80,1,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_80_1,TERRG,2020-01-15
-0.11,0.79,-23.91846406,16.33092387,12.64,40.99,SF,Fish,L.cyanellus,80,2,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_80_2,TERRG,2020-01-15
1.44,0.8,-24.05635664,18.02584602,14.34,46.09,SF,Fish,L.cyanellus,80,3,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_80_3,TERRG,2020-01-15
4.63,0.71,-20.41538435,16.50001349,14.38,46.04,SF,Fish,L.cyanellus,120,1,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_120_1,TERRG,2020-01-15
4.27,0.84,-20.13757137,18.27444802,14.43,46.89,SF,Fish,L.cyanellus,120,2,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_120_2,TERRG,2020-01-15
6.17,0.87,-20.32109016,16.39533896,13.13,42.69,SF,Fish,L.cyanellus,120,3,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_120_3,TERRG,2020-01-15
4.83,0.83,-20.34745198,17.16127469,13.54,44.52,SF,Fish,L.cyanellus,120,4,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_120_4,TERRG,2020-01-15
4.18,0.77,-20.31602058,16.32287198,13.6,43.96,SF,Fish,L.cyanellus,120,5,NA,NA,TERRG_2020_01_SF_Fish_L.cyanellus_120_5,TERRG,2020-01-15
9.83,0.7,NA,NA,NA,NA,SF,Fish,L.macrochirus,40,1,NA,NA,TERRG_2020_01_SF_Fish_L.macrochirus_40_1,TERRG,2020-01-15
10.73,0.74,NA,NA,NA,NA,SF,Fish,L.macrochirus,40,2,NA,NA,TERRG_2020_01_SF_Fish_L.macrochirus_40_2,TERRG,2020-01-15
9.32,0.72,NA,NA,NA,NA,SF,Fish,L.macrochirus,40,3,NA,NA,TERRG_2020_01_SF_Fish_L.macrochirus_40_3,TERRG,2020-01-15
4.28,0.96,NA,NA,NA,NA,SF,Fish,O.aureus,80,1,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_1,TERRG,2020-01-15
4.5,0.93,NA,NA,NA,NA,SF,Fish,O.aureus,80,2,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_2,TERRG,2020-01-15
2.06,0.94,NA,NA,NA,NA,SF,Fish,O.aureus,80,3,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_3,TERRG,2020-01-15
2.23,0.9,NA,NA,NA,NA,SF,Fish,O.aureus,80,4,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_4,TERRG,2020-01-15
0.24,0.84,NA,NA,NA,NA,SF,Fish,O.aureus,80,5,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_5,TERRG,2020-01-15
-0.26,0.96,NA,NA,NA,NA,SF,Fish,O.aureus,80,6,NA,NA,TERRG_2020_01_SF_Fish_O.aureus_80_6,TERRG,2020-01-15
